latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-17.3133,-60.6701,324.9,1,1,2013-01-01,0246,Terra,MODIS,100,6.2,294.4,20.8,N,0
-17.3069,-60.6721,302.4,2,1.4,2013-01-01,0552,Aqua,MODIS,49,6.2,291.3,9.1,N,0
-13.3414,-62.9773,316.2,1.2,1.1,2013-01-01,1805,Aqua,MODIS,67,6.2,296.2,7.6,D,0
-13.3317,-62.9789,316.6,1.2,1.1,2013-01-01,1805,Aqua,MODIS,62,6.2,296,8.3,D,0
-18.0056,-61.898,316.3,1,1,2013-01-03,1752,Aqua,MODIS,45,6.2,294.2,6.6,D,0
-18.125,-62.2211,329.9,1,1,2013-01-03,1752,Aqua,MODIS,78,6.2,300.3,19.8,D,0
-17.9351,-62.6412,319.6,1,1,2013-01-03,1752,Aqua,MODIS,36,6.2,296.9,7.3,D,0
-15.5802,-60.9644,327.7,1,1,2013-01-03,1752,Aqua,MODIS,80,6.2,298.2,17.2,D,0
-18.1264,-62.2306,326,1,1,2013-01-03,1752,Aqua,MODIS,66,6.2,297.7,15.1,D,0
-13.0512,-66.5814,311.9,1.4,1.2,2013-01-04,0318,Terra,MODIS,84,6.2,290.9,14.8,N,0
-13.0493,-66.5689,305.4,1.4,1.2,2013-01-04,0318,Terra,MODIS,64,6.2,291.2,7.9,N,0
-13.1598,-67.2656,311.3,2.1,1.4,2013-01-04,1836,Aqua,MODIS,48,6.2,289,12.1,D,0
-18.122,-62.2158,307.2,1,1,2013-01-05,0528,Aqua,MODIS,54,6.2,288,8.8,N,0
-18.1146,-62.785,300.7,1.1,1,2013-01-05,0528,Aqua,MODIS,33,6.2,288.9,3.5,N,0
-18.1106,-62.7777,301.6,1.1,1,2013-01-05,0528,Aqua,MODIS,43,6.2,288.6,3.8,N,0
-13.7247,-63.7511,312.5,1.4,1.2,2013-01-05,1451,Terra,MODIS,62,6.2,293.6,9.8,D,0
-18.1977,-62.7219,330.1,1.9,1.3,2013-01-05,1452,Terra,MODIS,85,6.2,294.3,51.2,D,0
-17.3166,-60.6126,304.8,2.6,1.6,2013-01-05,1452,Terra,MODIS,26,6.2,276.3,19.9,D,0
-17.0897,-62.6973,315.7,1.8,1.3,2013-01-05,1452,Terra,MODIS,72,6.2,291.9,21.2,D,0
-18.1912,-62.7324,322.2,1.9,1.3,2013-01-05,1452,Terra,MODIS,72,6.2,294.5,30.5,D,0
-18.1933,-62.7147,322.7,1.9,1.3,2013-01-05,1452,Terra,MODIS,75,6.2,293.7,32.2,D,0
-18.2094,-62.7344,318.9,1.5,1.2,2013-01-05,1739,Aqua,MODIS,57,6.2,295.5,13.5,D,0
-18.2077,-62.7205,326.2,1.5,1.2,2013-01-05,1739,Aqua,MODIS,81,6.2,298.1,25.9,D,0
-21.8508,-63.4184,325.1,1.9,1.3,2013-01-05,1739,Aqua,MODIS,54,6.2,290.6,35.5,D,0
-18.2755,-63.3956,314.2,1.6,1.3,2013-01-05,1740,Aqua,MODIS,42,6.2,290.8,14.1,D,0
-18.1948,-62.7276,387.7,1.5,1.2,2013-01-05,1740,Aqua,MODIS,100,6.2,301.2,314.8,D,0
-18.1965,-62.7415,332.3,1.5,1.2,2013-01-05,1740,Aqua,MODIS,74,6.2,297.1,39,D,0
-18.2056,-62.7262,354.1,1.5,1.2,2013-01-05,1740,Aqua,MODIS,73,6.2,298.9,106.7,D,0
-18.1985,-62.7359,377,1.5,1.2,2013-01-05,1740,Aqua,MODIS,75,6.2,300.1,233.7,D,0
-18.1969,-62.7219,383.7,1.5,1.2,2013-01-05,1740,Aqua,MODIS,75,6.2,300.3,279.5,D,0
-16.5218,-63.3257,314.4,1.5,1.2,2013-01-05,1740,Aqua,MODIS,50,6.2,296.5,14.1,D,0
-18.111,-63.3511,314,1.6,1.3,2013-01-05,1740,Aqua,MODIS,60,6.2,295.4,13.8,D,0
-15.0423,-61.1155,324.4,1.1,1,2013-01-05,1740,Aqua,MODIS,80,6.2,299,18.6,D,0
-13.1739,-64.4943,313,1.7,1.3,2013-01-05,1741,Aqua,MODIS,65,6.2,292.5,12.7,D,0
-11.8363,-66.413,308.1,2.2,1.4,2013-01-05,1741,Aqua,MODIS,29,6.2,291.6,17,D,0
-18.1905,-62.7251,340.4,1.3,1.1,2013-01-06,0304,Terra,MODIS,100,6.2,295.6,59.5,N,0
-18.1924,-62.7371,308.3,1.3,1.1,2013-01-06,0304,Terra,MODIS,74,6.2,294,8.3,N,0
-21.9391,-63.3817,316.6,3.3,1.7,2013-01-06,0612,Aqua,MODIS,93,6.2,291.8,73.6,N,0
-21.9419,-63.3495,307.5,3.3,1.7,2013-01-06,0612,Aqua,MODIS,72,6.2,291.8,34.1,N,0
-21.9285,-63.3737,310.9,3.3,1.7,2013-01-06,0612,Aqua,MODIS,81,6.2,291.9,48.6,N,0
-21.9441,-63.3752,311.1,3.3,1.7,2013-01-06,0612,Aqua,MODIS,82,6.2,291.9,49.4,N,0
-12.4285,-66.4175,330.4,1.1,1.1,2013-01-07,1439,Terra,MODIS,83,6.2,296.4,25.4,D,0
-13.3338,-66.7109,318.8,1.1,1.1,2013-01-07,1439,Terra,MODIS,70,6.2,289.9,11.7,D,0
-13.619,-67.8803,319.2,1.3,1.1,2013-01-07,1439,Terra,MODIS,71,6.2,293.6,15.2,D,0
-17.3504,-61.5347,316.8,1.4,1.2,2013-01-07,1440,Terra,MODIS,71,6.2,291.1,17.2,D,0
-18.2035,-63.3264,314.4,2.8,1.6,2013-01-07,1727,Aqua,MODIS,37,6.2,295.5,25.7,D,0
-17.7569,-61.8407,311.3,2.1,1.4,2013-01-07,1727,Aqua,MODIS,45,6.2,293.3,18.6,D,0
-17.3472,-61.5467,313.1,2,1.4,2013-01-07,1727,Aqua,MODIS,56,6.2,291.9,19.3,D,0
-18.2008,-63.3015,315.3,2.8,1.6,2013-01-07,1727,Aqua,MODIS,47,6.2,297.3,28.9,D,0
-15.9768,-60.4594,316,1.6,1.2,2013-01-07,1728,Aqua,MODIS,69,6.2,295.8,12.7,D,0
-16.4785,-58.8131,314.9,1.2,1.1,2013-01-07,1728,Aqua,MODIS,46,6.2,294.9,7.4,D,0
-16.48,-58.8248,314.8,1.3,1.1,2013-01-07,1728,Aqua,MODIS,45,6.2,293.7,7.4,D,0
